,,direction
1,1,0
1,43298,0
2,10,1
2,39,0
3,58,0
3,128,1
3,131,0
3,151,0
4,8,1
4,40,0
5,43,0
5,110,1
6,60,1
6,68,0
8,4,0
8,22,1
9,55,1
9,71,1
10,2,0
10,10,0
11,107,0
11,127,0
12,18,1
12,76,0
13,13,0
13,122,0
14,14,0
14,50,0
14,152,1
14,153,1
15,22,0
15,141,1
17,48,1
17,99,0
18,12,0
18,18,0
18,45,1
19,14,1
19,50,1
19,106,0
19,154,0
20,96,1
20,147,0
21,24,1
21,36,0
22,8,0
22,15,1
23,37,0
23,106,0
23,112,1
24,21,0
24,138,1
25,121,0
25,126,1
26,86,1
26,135,0
27,77,1
27,145,0
28,71,1
28,43298,0
29,115,0
29,116,1
30,77,0
30,92,1
31,32,1
31,38105,0
32,31,0
32,32,0
32,47,1
32,155,1
33,75,0
33,115,1
34,35,1
34,91,0
34,94,0
34,96,0
35,34,0
35,35,0
35,39472,1
36,21,1
36,120,0
37,23,1
37,106,0
38,84,0
38,103,1
38,125,1
39,2,1
39,55,0
40,4,1
40,74,0
41,70,1
41,109,0
41,37953,0
42,111,0
42,156,1
43,5,1
43,146,0
44,102,1
44,155,0
45,18,0
45,117,1
46,121,1
46,134,0
46,43599,0
47,32,0
47,155,1
48,17,0
48,143,1
49,49,0
49,117,0
50,14,1
50,19,0
51,126,0
51,131,1
51,144,1
52,58,0
52,131,1
54,54,0
54,93,0
55,9,0
55,39,1
57,26,1
57,135,1
57,137,0
57,149,0
57,38174,0
58,52,1
58,116,0
59,85,0
59,37169,1
60,6,0
60,60,0
61,97,1
61,112,0
61,140,1
62,118,1
62,156,0
62,159,1
63,63,0
63,105,0
63,106,1
63,107,1
63,134,1
63,38174,1
63,43599,1
64,131,0
64,151,1
66,75,1
66,38174,0
67,67,0
67,101,1
67,39472,0
68,6,1
68,157,0
69,98,0
69,147,1
70,41,0
70,83,1
70,103,1
70,125,1
70,127,1
70,158,1
71,9,0
71,28,0
72,38081,0
72,39635,1
73,74,1
73,130,0
74,40,1
74,73,0
74,74,0
75,33,1
75,66,0
76,12,1
76,88,0
77,27,0
77,30,1
78,128,0
78,144,1
78,38417,0
79,122,1
79,141,0
81,87,1
81,140,0
81,145,1
83,84,1
83,103,1
83,107,0
83,125,1
83,37953,0
84,38,1
84,83,0
84,125,1
85,59,1
85,130,1
85,37169,1
86,26,0
86,86,0
86,113,1
87,81,0
87,106,0
87,136,1
87,140,0
87,145,1
88,76,1
88,143,0
89,95,0
89,150,0
89,38081,1
90,114,0
90,118,1
91,34,1
91,92,0
91,94,1
92,30,0
92,91,1
92,92,0
93,54,1
93,93,0
93,101,0
94,34,1
94,91,0
95,89,1
95,150,1
96,20,0
96,34,1
97,61,0
97,106,0
97,112,0
97,140,1
98,69,1
98,39635,0
99,17,1
99,99,0
99,104,0
99,145,0
100,118,0
100,142,1
101,67,0
101,93,1
102,44,0
102,120,1
103,38,0
103,103,0
103,125,1
103,32906,1
104,99,1
104,145,0
105,23,1
105,81,1
105,105,0
105,106,1
105,107,1
105,38187,1
106,14,1
106,19,1
106,23,1
106,37,1
106,63,0
106,81,1
106,87,1
106,105,0
106,136,1
106,140,1
106,145,1
106,154,1
106,38187,0
107,32,1
107,41,1
107,63,0
107,83,1
107,103,1
107,105,0
107,107,0
107,125,1
107,127,1
107,155,1
107,158,1
107,37169,1
107,37953,1
107,38105,1
107,38187,0
108,129,0
108,157,1
109,41,1
109,37953,0
110,5,0
110,132,1
111,42,1
111,132,0
112,23,0
112,61,1
112,97,1
112,140,1
113,86,0
113,123,1
114,90,1
114,159,0
115,29,1
115,33,0
116,29,0
116,58,1
117,45,0
117,49,1
117,117,0
118,90,0
118,100,1
118,38174,0
119,139,1
119,158,0
120,36,1
120,102,0
121,25,1
121,46,0
121,43599,0
122,13,1
122,79,0
123,113,0
123,123,0
124,124,0
124,125,0
125,103,0
125,32905,1
126,25,0
126,51,1
126,134,0
127,70,0
127,83,1
127,125,1
127,127,0
127,158,1
128,3,0
128,38174,0
128,38417,1
129,108,1
129,129,0
129,138,0
130,73,1
130,85,0
131,51,0
131,52,0
131,64,1
131,126,0
131,128,1
131,151,1
131,38174,0
131,38417,1
132,62,1
132,110,0
132,111,1
134,25,1
134,121,1
134,38174,0
134,43599,1
135,26,1
135,57,0
136,87,0
136,104,1
136,145,1
137,144,0
137,149,1
138,24,0
138,129,1
139,107,0
139,119,0
139,139,0
139,158,0
139,37169,1
140,23,0
140,61,0
140,81,1
140,97,0
140,106,0
140,112,0
140,145,1
141,15,0
141,79,1
142,100,0
142,142,0
143,48,0
143,88,1
144,78,0
144,131,0
144,135,1
144,137,1
144,144,0
144,38174,0
144,38417,0
145,27,1
145,49,1
145,81,0
145,87,0
145,104,1
145,106,0
145,136,0
145,140,0
145,145,0
146,43,1
146,160,0
147,20,1
147,69,0
148,148,0
148,32905,0
149,57,1
149,135,1
149,137,0
150,89,1
150,95,0
150,152,0
150,153,0
150,38081,1
151,3,1
151,64,0
151,151,0
152,14,0
152,89,1
152,153,1
153,150,1
153,152,0
153,38081,1
154,19,1
154,106,0
155,32,0
155,44,1
155,47,0
155,120,1
156,42,0
156,62,1
157,68,1
157,108,0
158,11,0
158,107,0
158,119,1
158,127,0
158,139,1
158,37953,0
159,62,0
159,114,1
160,146,1
160,38174,0
32905,125,0
32905,148,1
32906,125,1
37169,59,0
37169,107,0
37169,139,0
37169,37169,0
37953,41,1
37953,83,1
37953,103,1
37953,107,0
37953,109,1
37953,127,1
37953,158,1
38081,72,1
38081,89,0
38081,38081,0
38105,31,1
38105,32,1
38105,107,0
38174,5,1
38174,57,1
38174,63,0
38174,66,1
38174,118,1
38174,131,1
38174,134,1
38174,144,1
38174,160,1
38174,38417,1
38187,105,0
38187,106,1
38187,107,1
38187,38187,0
38417,78,1
38417,128,0
38417,131,0
38417,144,1
38417,149,1
38417,38174,0
39472,35,0
39472,67,1
39635,72,0
39635,98,1
43298,1,1
43298,28,1
43599,46,1
43599,121,1
43599,134,0
