Country,SH.MED.BEDS.ZS,SH.MED.PHYS.ZS,SH.MED.NUMW.P3,SH.UHC.SRVS.CV.XD,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SH.XPD.CHEX.PP.CD,SH.XPD.OOPC.CH.ZS,SH.XPD.OOPC.PC.CD,SH.XPD.OOPC.PP.CD,SH.STA.DIAB.ZS,SP.DYN.LE00.FE.IN,SP.DYN.LE00.IN,SP.DYN.LE00.MA.IN,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SH.DYN.NCOM.ZS,SH.DYN.NCOM.FE.ZS,SH.DYN.NCOM.MA.ZS,SH.DTH.COMM.ZS,SH.DTH.INJR.ZS,SH.DTH.NCOM.ZS,SH.H2O.BASW.ZS,SH.STA.BASS.ZS,SP.POP.80UP.FE.5Y,SP.POP.80UP.MA.5Y,SP.POP.65UP.FE.ZS,SP.POP.65UP.MA.ZS,SP.POP.65UP.TO.ZS,SP.POP.0014.FE.ZS,SP.POP.0014.MA.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.FE.ZS,SP.POP.1564.MA.ZS,SP.POP.1564.TO.ZS,SP.POP.TOTL
ABW,,1.12,,,,,,,,,11.6,78.507,76.152,73.628,68.514,110.63,,,,,,,97.8690233809859,97.5434811165022,2.85781087011259,1.72756946103017,14.8411927628503,12.1268211129687,13.5509471396854,16.6396892198122,19.0908367168219,17.8024469743493,68.5191180173375,68.7823421702094,68.6466058859653,105845.0
AFG,0.5,0.284,0.32,37.0,11.7771938443184,67.1226501464844,174.73063659668,75.482577085495,50.6659126281738,132.750457763672,9.2,66.026,64.486,63.047,192.532,237.554,29.8,27.7,31.8,36.4,19.5,44.1,67.0646234205214,43.4176100145511,0.32098229099271,0.233325824490103,2.85168676664079,2.33214265531168,2.58492693988024,43.2234155668612,42.963931941074,43.0901755117794,53.924897666498,54.7039254036143,54.3248975483403,37172386.0
AGO,0.8,0.2149,1.3123,40.0,2.79150027781725,114.45964050293,185.854034423828,34.1210126876831,39.0547943115234,63.415283203125,4.5,63.666,60.782,58.064,220.291,327.044,16.5,16.0,17.2,63.4,9.2,27.4,55.8429048722414,49.8769787577501,0.337248804110499,0.2075326253215,2.43095469211594,1.99722349415499,2.21637364776329,46.1819021284752,47.4493550781457,46.8089247095412,51.3871431794089,50.5534214276993,50.9747016426956,30809762.0
ALB,2.9,1.1998,3.5998,59.0,,,,,,,9.0,80.167,78.458,76.816,49.486,93.315,17.0,13.1,20.7,2.9,4.0,93.1,91.0392276676191,97.7183683821447,3.03395389713644,2.44807869374057,14.5387415783404,12.9788964134527,13.7447359109736,16.9576465381137,18.3626673277144,17.672873724304,68.5036118835458,68.6584362588329,68.5823903647225,2866376.0
AND,2.5,3.3333,4.0128,,10.3205524384975,4040.78662109375,5237.24169921875,41.7770534753799,1688.12145996094,2187.96533203125,7.7,,,,,,,,,,,,99.9999962826959,99.9999962826959,,,,,,,,,,,,77006.0
ARE,1.2,2.3944,5.5857,76.0,3.33428233861923,1357.01745605469,2468.54931640625,18.8674405217171,256.034484863281,465.752105712891,16.3,79.164,77.814,77.133,44.863,69.555,16.8,15.5,17.3,6.5,16.8,76.8,98.0455065574262,98.586008743698,0.163864476791062,0.0976893899532615,1.20524271430067,1.03257954627275,1.08500098484481,23.6329517059021,10.6630528877424,14.6035093701468,75.1618055797973,88.3043675659849,84.3114896450084,9630959.0
ARG,5.0,3.96,2.58,76.0,9.12431478500366,1324.603515625,1916.50415039063,15.0185272097588,198.935943603516,287.830688476563,5.9,79.863,76.52,73.082,79.483,147.086,15.8,12.2,19.7,15.9,6.5,77.6,99.078374648261,94.2585054176821,3.4475320307634,1.77481880389002,12.8326577861866,9.31610791268895,11.1177888760774,23.7206645801837,25.8538763968927,24.7609338351238,63.4466776336297,64.8300156904184,64.1212772887989,44494502.0
AUS,3.8,3.5874,12.6612,87.0,9.20594781637192,5331.81787109375,4816.15380859375,18.1521028280258,967.837036132813,874.233215332031,5.6,84.9,82.7487804878049,80.7,44.673,75.835,9.1,7.2,11.0,4.6,5.9,89.5,99.9699355966804,99.9911523822512,4.67924906904907,3.40801882417612,16.5389515247849,14.7675277800315,15.6564752275591,18.6121300328616,19.7734175935011,19.1906170385658,64.8489184423535,65.4590546264674,65.1529077338752,24982688.0
AUT,7.6,5.1441,8.1778,79.0,10.3966169059277,4939.87548828125,5617.396484375,19.2032665014267,948.617431640625,1078.72351074219,6.6,84.0,81.6439024390244,79.4,41.779,79.032,11.4,8.5,14.4,2.6,5.2,92.2,100.0,99.9729096123263,6.55386653077959,3.92008680806524,21.2088048981301,16.7191757259471,19.0015664595899,13.6404540475046,14.9777993496715,14.2979476320233,65.1507410543654,68.3030249243815,66.7004859083869,8840521.0
AZE,4.7,3.4466,6.9621,65.0,6.65182918310165,275.809356689453,1163.86193847656,83.8561415672302,231.283081054688,975.969787597656,6.1,75.336,72.864,70.345,89.073,149.499,22.2,16.1,28.7,8.8,4.6,86.6,91.3857399436573,92.5114453471259,1.73714498870402,0.982339804628094,7.22116766289933,5.16465817169872,6.19518275071493,21.718072673343,25.028408793267,23.3695698603865,71.0607596637577,69.8069330350343,70.4352473888986,9939800.0
