name,description,description_visitor
"Enregistrement de PACS","Vous venez pour enregistrer une convention de Pacte Civil de Solidarité (PACS), avec votre conjoint, dans le cadre d’un régime d'indivision ou de séparation des biens.","Vous venez pour un PACS. Vous venez enregistrer une convention de Pacte Civil de Solidarité. Vous venez pour vous pacser avec votre conjoint. Vous venez pour enregistrer un PACS en régime d’indivision des biens. Vous venez pour enregistrer un PACS en régime de séparation des biens. Vous venez pour vous lier à votre partenaire dans le cadre d’un Pacte Civil de Solidarité."
"Enregistrement de PACS","Vous venez pour enregistrer une convention de Pacte Civil de Solidarité (PACS), avec votre conjoint, dans le cadre d’un régime d’indivision ou de séparation des biens.","Vous venez pour un PACS.\n  Vous venez enregistrer une convention de Pacte Civil de Solidarité.\n  Vous venez pour vous pacser avec votre conjoint.\n  Vous venez pour enregistrer un PACS en régime d’indivision des biens.\n  Vous venez pour enregistrer un PACS en régime de séparation des biens.\n  Vous venez pour vous lier à votre partenaire dans le cadre d’un Pacte Civil de Solidarité."
"Actes de naissance, mariage, décès","Vous venez pour obtenir un acte de naissance afin de réaliser vos démarches administratives comme le renouvellement d’un passeport ou d’une carte d’identité ou pour préparer voter mariage, votre divorce.  Vous venez pour obtenir un acte de mariage pour vos démarches administratives, auprès d’un notaire, pour un divorce, pour obtenir un certificat de nationalité ou pour votre livret de famille. Vous venez pour obtenir un certificat de mariage pour vos démarches administratives ou bancaires, auprès de votre caisse de retraite, pour resiller un contrat ou un bail.","Vous venez établir un acte de naissance pour réaliser vos démarches administratives.\n  Vous venez chercher un acte de naissance car vous allez vous marier, ou divorcer.\n  Vous avez besoin d’un acte de naissance pour renouveler votre mon passeport, votre carte d’identité.\n  Vous avez besoin d’un acte de naissance intégrale.\n  Vous avez besoin de l’extrait avec filiation, ou sans filiation.\n  Vous désirez un certificat de mariage pour vos démarches administratives.\n  Vous voulez un acte de mariage pour aller chez le notaire.\n  Vous avez besoin d’un acte de mariage car vous divorcé.\n  Vous avez besoin d’un acte de mariage pour obtenir un certificat de nationalité.\n  Vous désirez un certificat de mariage pour faire votre livret de famille.\n  Vous voulez obtenir un certificat de décès pour aller chez le notaire, pour une succession.\n  Vous avez besoin d’un acte de décès pour votre banquier.\n  Vous venez chercher une copie d’un bulletin de décès pour résilier un contrat, un bail…\n  Vous avez besoin d’un bulletin de décès pour votre organisme de retraite."
"Livret de famille","Vous venez établir ou mettre à jour votre livret de famille à la suite de la naissance ou de l'adoption d'un enfant, du mariage ou du divorce des parents, ou bien du décès d'une membre de votre famille.","Vous venez demander un nouveau livret de famille.\n  Vous venez mettre à jour votre livret de famille à la suite de la naissance ou de l'adoption d'un enfant, du mariage ou du divorce des parents, ou bien du décès d'un membre de votre famille.\n Vous venez vous faire délivrer votre livret de famille suite à la naissance de votre premier enfant.\n Vous demandez un livret de famille suite à l'adoption d'un enfant.\n Vous venez mettre à jour votre livret de famille à la suite de la naissance ou de l'adoption d'un enfant\n Vous venez mettre à jour votre livret de famille à la suite du mariage ou du divorce des parents\n Vous venez mettre à jour votre livret de famille à la suite du décès d'un membre de votre famille"
"Déclaration de naissance, Reconnaissance","Vous souhaitez déclarer une naissance ou établir un acte de reconnaissance d'enfant pour officialiser la filiation parentale entre votre enfant et vous.","Vous venez déclarer la naissance d'un enfant.\n  Vous venez établir votre filiation paternelle en reconnaissant votre enfant.\n  Vous souhaitez reconnaître votre enfant.\n  Vous voulez établir un acte de reconnaissance prénatal.\n Vous souhaitez reconnaître votre nouveau-né.\n Vous souhaitez reconnaître votre bébé."
"Déclaration de décès","Vous souhaitez faire une déclaration de décès et faire établir un acte de décès au nom du décédé.","Vous souhaitez déclarer le décès d'un proche.\n  Vous voulez déclarer la mort d'un membre de votre famille.\n  Vous venez déclarer un décès et établir un acte de décès.\n  Vous souhaitez faire une déclaration de décès."
"Recensement des jeunes","Vous souhaitez faire les démarches pour vous faire recenser auprès de la mairie car vous avez atteint 16 ans.","Vous venez faire recenser votre enfant qui vient d'avoir 16 ans.\n  Vous voulez vous faire recenser car vous avez atteint l'âge de seize ans.\n  Vous venez pour le recensement des jeunes.\n  Vous souhaitez faire les démarches pour vous faire recenser auprès de la mairie.\n Vous venez avec votre gamin pour le recensement des jeunes.\n Vous venez avec votre adolescent pour le recensement des jeunes."
"Changement de prénoms, rectification d’actes","Vous souhaitez changer un prénom parce qu'il vous porte préjudice, vous fait honte, est ridicule. Vous venez effectuer un une rectification d'acte de naissance, de mariage ou de décès.","Vous venez modifier votre acte de mariage.\n  Vous venez rectifier votre acte de naissance.\n  Vous souhaitez corriger un acte de décès.\n  Vous souhaitez changer un prénom parce qu'il vous porte préjudice.\n  Vous souhaitez changer un prénom parce qu'il vous fait honte.\n  Vous souhaitez changer un prénom parce qu'il est ridicule. \n  Vous venez effectuer un changement de prénom.\n  Vous venez effectuer une rectification d'acte de naissance.\n Vous souhaitez corriger l'acte de naissance de votre enfant."
"Certificats, légalisation de signature","Vous venez pour un certificat de vie commune ou pour une légalisation de signature sur un document tel qu'un acte public (actes judiciaires, actes notariés et documents administratifs) ou un acte sous seing privé (actes rédigés par des particuliers sans la présence d’un notaire) comme une attestation sur l'honneur, une reconnaissance de dettes, un contrat, une lettre de recommandation.","Vous avez besoin d'un certificat de vie commune.\n  Vous avez besoin d'une copie certifiée conforme.\n  Vous voulez une copie certifiée conforme d'acte de naissance.\n  Vous voulez une copie certifiée conforme d'acte de mariage.\n  Vous venez faire certifier une copie acte de décès.\n  Vous souhaitez établir une attestation d'accueil.\n  Vous avez besoin d'une copie certifiée conforme d'un diplôme.\n  Vous avez besoin d'une copie certifiée conforme de votre baccalauréat.\n  Vous venez pour une attestation d'accueil d'étranger.\n  Vous venez pour une légalisation d'attestation d'hébergement.\n  Vous souhaitez légaliser une attestation d'hébergement d'un étranger.\n  Vous souhaitez faire authentifier votre signature sur un acte judiciaire.\n  Vous souhaitez faire authentifier votre signature sur un acte notarié.\n  Vous voulez une authentification de signature sur une attestation sur l'honneur.\n  Vous voulez légaliser une reconnaissance de dette.\n  Vous venez pour effectuer une légalisation de signatures de contrat.\n  Vous venez légaliser une lettre de recommandation.\n  Vous venez pour une légalisation de signature sur un document administratif."
Mariage,"Vous souhaitez accomplir des démarches administratives relatives à votre mariage telles que prendre un rendez-vous ou déposer un dossier de mariage.","Vous venez accomplir les démarches pour votre cérémonie de mariage.\n  Vous souhaitez réserver une date pour officialiser votre union avec votre conjoint.\n  Vous venez organiser une cérémonie de mariage.\n  Vous voulez vous marier à la mairie.\n  Vous avez rendez-vous pour effectuer un dépôt de dossier de mariage.\n  Vous voulez déposer un dossier de mariage.\n  Vous voulez modifier votre rendez-vous de dépôt de dossier de mariage."
