demande;motif;groupe_motif
je viens enregistrer mon bac;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je viens de pardon je viens pour déposer un dossier d'enregistrement de PACS;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je souhaite enregistrer une convention de PACS civil de solidarité;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
bonjour je viens pour un enregistrement de PACS;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je souhaite enregistrer une convention de pacte civil de solidarité;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je viens de Croix-Rouge très PACS un régime de l'indivision des biens;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je souhaite enregistrer une convention de pacte civil de solidarité;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
jeux pour enregistrer un PACS en régime d'un vide indivision des biens;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
avec mon ami voilà on va passer notre vie ensemble et on vient s'enregistrer parce qu'on voudrait se pacser;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je souhaite enregistrer une convention de pacte civil de solidarité;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je viens pour enregistrer un PACS en régime de l'indivision des biens;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je souhaiterais avoir une date pour un enregistrement de PACS;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je viens pour enregistrer un PACS en régime de l'indivision des biens;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je voudrais Opel je cherche à me pacser;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je souhaite enregistrer une convention de PACS civil de solidarité;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je viens pour enregistrer un PACS;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je viens pour enregistrer un PACS;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je souhaite enregistrer une convention de pacte civil de solidarité;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
Bonjour donc je viens pour pour enregistrer un PACS que nous venons de faire;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je viens pour enregistrer un PACS en régime de l'indivision des biens;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je souhaite enregistrer une convention de pacte civil de solidarité;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je voudrais avoir des informations pour me pacser avec ma copine;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je viens pour enregistrer un PACS en régime de l'indivision des biens;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je viens pour enregistrer un PACS en résine d'indivision des biens;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
accompagne-moi sur toi enregistrement sur le pacte civil de solidarité;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
une bonjour je viens parce que je me suis pacsé et j'aurais voulu faire les papiers nécessaires vis-à-vis des impôts;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
Bonjour je voudrais faire un enregistrement pour un pack s'il vous plaît;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
bonjour je viens pour les pacs;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je souhaite enregistrer une convention de pacte civil de solidarité;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
Bonjour je souhaiterais venir établir un PACS s'il vous plaît;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je viens pour enregistrer un PACS en régime de l'indivision des biens;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
bonjour je viens pour déclarer un PACS;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
Bonjour je suis pacsé j'aimerais avoir une attestation serait-il possible d'en avoir une merci;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
Bonjour je suis là pour me pacser;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
bonjour je viens pour pour enregistrer on voudrait se pacser avec ma copine du coup je vais avoir à ce sujet;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
Bonjour je souhaiterais enregistrer un pack;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
Bonjour je souhaiterais enregistrer un dossier PACS;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
Bonjour J'aurais voulu savoir comment est-ce que je pourrais enregistrer;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je souhaite enregistrer une convention de PACS civil de solidarité;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je vais pour enregistrer un PACS en régime de l'indivision des biens;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
Bonjour;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
bonjour je viens pour un enregistrement de pâtes s'il vous plaît merci;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je viens de me marier et je voudrais enregistrer mon PACS;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
ah d'accord bonjour je viens pour à l'enregistrement s'il vous plaît;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je viens pour enregistrer un PACS en régime de l'indivision des biens;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
je viens me pacser;Enregistrement de PACS;01c - Etat Civil PACS Enregistrement
oui bonjour je viens pour récupérer un document d'acte de naissance suite à la naissance de mon fils;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens de me marier et je souhaiterais effectuer tous les documents nécessaires pour l'acte civil;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
Bonjour je souhaiterais rentrer l'un de vos agents d'état civil pour les documents d'acte de naissance;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
je viens demander un acte de naissance et un acte de mariage;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens pour un acte de naissance s'il vous plaît;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens parce qu'il me faudrait un acte de mariage;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
nous désirons obtenir un certificat de mariage pour les démarches administratives;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
nous désirons obtenir un certificat de mariage pour des démarches administratives;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
mon papa est mort je dois le déclarer;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin d'un acte de décès pour mon banquier;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
nous avons tenir un certificat de mariage pour des démarches administratives;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
je viens pour demander l'acte de naissance de ma fille;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
je voudrais retirer le certificat de mariage s'il vous plaît;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
nous désirons obtenir un certificat de mariage pour des démarches administratives;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin d'un acte de naissance intégral;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
je viens pour déclarer une naissance;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
j'aimerais une copie de mon acte de naissance;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
nous désirons obtenir un certificat de mariage pour des démarches administratives;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin d'un acte de décès pour mon banquier;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin d'information sur un sur un acte de mariage;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
nous désirons obtenir un certificat de mariage pour des démarches administratives;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin d'un acte de décès pour mon banquier;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
je viens d'avoir un enfant là et je voudrais le déclarer;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
j'ai perdu l'acte de naissance de mariage et ben je voudrais le récupérer;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
nous désirons obtenir un certificat de mariage pour des démarches épaté;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
je souhaite retirer un acte de décès ça fait 6 mois que j'ai déposé les dossiers pour les démarches et j'en ai marre de revenir ici c'est la septième fois que je reviens et j'en ai un peu marre;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
nous sommes mariés la semaine dernière et nous venons récupérer document;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
il y a 6 mois que nous sommes mariés dans cette mairie et nous avons remarqué qu'il y a une erreur sur le document que nous avons remis;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
il y a 6 mois que nous sommes mariés dans cette mairie et nous venons de nous apercevoir qu'il y a une erreur sur l'acte que vous nous avez remis;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
il y a 2 semaines que nous sommes mariés dans cette maison pour deux langues et l'acte que vous nous avez remis;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
je viens pour récupérer l'acte de décès de mon enfant que j'ai assassiné;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens pour un acte de naissance;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
allô allô allô;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens pour enregistrer un nouveau bébé;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
nous désirons obtenir un certificat de mariage pour les démarches administratives;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin d'un acte de décès pour mon banquier;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
Bonjour J'aimerais fixer une date pour mon mariage l'année prochaine s'il vous plaît;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
